datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
01-01-2011 00:00,1,0,0,1,9.84,14.395,81,0,16
01-01-2011 01:00,1,0,0,1,9.02,13.635,80,0,40
01-01-2011 02:00,1,0,0,1,9.02,13.635,80,0,32
01-01-2011 03:00,1,0,0,1,9.84,14.395,75,0,13
01-01-2011 04:00,1,0,0,1,9.84,14.395,75,0,1
01-01-2011 05:00,1,0,0,2,9.84,12.88,75,6.0032,1
01-01-2011 06:00,1,0,0,1,9.02,13.635,80,0,2
01-01-2011 07:00,1,0,0,1,8.2,12.88,86,0,3
01-01-2011 08:00,1,0,0,1,9.84,14.395,75,0,8
01-01-2011 09:00,1,0,0,1,13.12,17.425,76,0,14
01-01-2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,36
01-01-2011 11:00,1,0,0,1,14.76,16.665,81,19.0012,56
01-01-2011 12:00,1,0,0,1,17.22,21.21,77,19.0012,84
01-01-2011 13:00,1,0,0,2,18.86,22.725,72,19.9995,94
01-01-2011 14:00,1,0,0,2,18.86,22.725,72,19.0012,106
01-01-2011 15:00,1,0,0,2,18.04,21.97,77,19.9995,110
01-01-2011 16:00,1,0,0,2,17.22,21.21,82,19.9995,93
01-01-2011 17:00,1,0,0,2,18.04,21.97,82,19.0012,67
01-01-2011 18:00,1,0,0,3,17.22,21.21,88,16.9979,35
01-01-2011 19:00,1,0,0,3,17.22,21.21,88,16.9979,37
01-01-2011 20:00,1,0,0,2,16.4,20.455,87,16.9979,36
01-01-2011 21:00,1,0,0,2,16.4,20.455,87,12.998,34
01-01-2011 22:00,1,0,0,2,16.4,20.455,94,15.0013,28
01-01-2011 23:00,1,0,0,2,18.86,22.725,88,19.9995,39
02-01-2011 00:00,1,0,0,2,18.86,22.725,88,19.9995,17
02-01-2011 01:00,1,0,0,2,18.04,21.97,94,16.9979,17
02-01-2011 02:00,1,0,0,2,17.22,21.21,100,19.0012,9
02-01-2011 03:00,1,0,0,2,18.86,22.725,94,12.998,6
02-01-2011 04:00,1,0,0,2,18.86,22.725,94,12.998,3
02-01-2011 06:00,1,0,0,3,17.22,21.21,77,19.9995,2
02-01-2011 07:00,1,0,0,2,16.4,20.455,76,12.998,1
02-01-2011 08:00,1,0,0,3,16.4,20.455,71,15.0013,8
02-01-2011 09:00,1,0,0,2,15.58,19.695,76,15.0013,20
02-01-2011 10:00,1,0,0,2,14.76,17.425,81,15.0013,53
02-01-2011 11:00,1,0,0,2,14.76,16.665,71,16.9979,70
02-01-2011 12:00,1,0,0,2,14.76,16.665,66,19.9995,93
02-01-2011 13:00,1,0,0,2,14.76,17.425,66,8.9981,75
02-01-2011 14:00,1,0,0,3,14.76,17.425,76,12.998,59
02-01-2011 15:00,1,0,0,3,13.94,16.665,81,11.0014,74
02-01-2011 16:00,1,0,0,3,13.94,16.665,71,11.0014,76
02-01-2011 17:00,1,0,0,1,13.94,16.665,57,12.998,65
02-01-2011 18:00,1,0,0,2,14.76,16.665,46,22.0028,53
02-01-2011 19:00,1,0,0,1,13.12,14.395,42,30.0026,30
02-01-2011 20:00,1,0,0,1,12.3,13.635,39,23.9994,22
02-01-2011 21:00,1,0,0,1,10.66,11.365,44,22.0028,31
02-01-2011 22:00,1,0,0,1,9.84,10.605,44,19.9995,9
02-01-2011 23:00,1,0,0,1,9.02,11.365,47,11.0014,8
03-01-2011 00:00,1,0,1,1,9.02,9.85,44,23.9994,5
03-01-2011 01:00,1,0,1,1,8.2,8.335,44,27.9993,2
03-01-2011 04:00,1,0,1,1,6.56,6.82,47,26.0027,1
